site_code,store_number,brand,station_name,address,city,state,zip,latitude,longitude,phone,fuel_type,retail_price,discount_price,your_price,effective_date,parking_spaces_count,fuel_lane_count,shower_count,amenities,restaurants,source,pricing_city,pricing_state,location_city,location_state,city_mismatch,state_mismatch,is_usa,is_canada,missing_coordinates,missing_current_price
616,616,Flying J,Flying J Travel Center,42810 Frazier Mountain Park Rd,Lebec,CA,93243,34.816644089437794,-118.88688511772156,(661) 248-6510,DSL,6.499,6.449,5.633,2026-06-18,277,12,12,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Frazier Park,CA,Lebec,CA,yes,no,yes,no,no,no
622,622,Flying J,Flying J Travel Center,100 N Kings Hwy,Fort Pierce,FL,34945,27.448956010822528,-80.3977813214264,(772) 461-0091,DSL,5.199,5.149,4.3014,2026-06-18,156,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Barber Shop | Bulk Propane | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Denny's | Subway | Pilot Eats,Pilot/Flying J pricing + locations,Saint Lucie,FL,Fort Pierce,FL,yes,no,yes,no,no,no
623,623,Flying J,Flying J Travel Center,32670 Blue Star Hwy,Midway,FL,32343,30.492490792000847,-84.42915143914793,(850) 574-9779,DSL,4.799,4.749,4.3377,2026-06-18,150,12,12,Diesel Lanes | Showers | Drivers Lounge | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Quincy,FL,Midway,FL,yes,no,yes,no,no,no
624,624,Flying J,Flying J Travel Center,29933 State Rd 52,San Antonio,FL,33576,28.326050432621614,-82.32248806404851,(352) 588-5444,DSL,5.099,5.049,4.2574,2026-06-18,190,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Dade City,FL,San Antonio,FL,yes,no,yes,no,no,no
625,625,Flying J,Flying J Travel Center,11555 E Sligh Ave,Seffner,FL,33584,28.00970348194623,-82.30328826848694,(813) 612-9438,DSL,5.059,5.009,4.2349,2026-06-18,27,6,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Pilot Eats,Pilot/Flying J pricing + locations,Tampa,FL,Seffner,FL,yes,no,yes,no,no,no
626,626,Flying J,Flying J Travel Center,950 FL-206 W,Saint Augustine,FL,32086,29.74996120681377,-81.34444617182768,(904) 794-0426,DSL,5.259,5.209,4.2973,2026-06-18,99,8,9,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | Denny's | Subway | Pilot Eats,Pilot/Flying J pricing + locations,St Augustine,FL,Saint Augustine,FL,yes,no,yes,no,no,no
633,633,Flying J,Flying J Travel Center,3600 GA-77,Greensboro,GA,30642,33.547337634902306,-83.07739674662704,(706) 486-4835,DSL,5.099,5.049,4.3,2026-06-18,189,8,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats,Pilot/Flying J pricing + locations,Union Point,GA,Greensboro,GA,yes,no,yes,no,no,no
640,640,Flying J,Flying J Travel Center,5350 US-93,Jerome,ID,83338,42.64947954795628,-114.44270905464839,(208) 324-3454,DSL,5.199,5.149,4.0712,2026-06-18,100,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Pilot Eats,Pilot/Flying J pricing + locations,Twin Falls,ID,Jerome,ID,yes,no,yes,no,no,no
653,653,Flying J,Flying J Travel Center,3231 E 181st Ave,Hebron,IN,46341,41.28823088555331,-87.29464827116392,(219) 696-6446,DSL,5.159,5.109,4.2941,2026-06-18,366,10,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | CB Shop | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Lowell,IN,Hebron,IN,yes,no,yes,no,no,no
682,682,Flying J,Flying J Travel Center,1043 Jimmie Kerr Rd,Haw River,NC,27258,36.07155978723494,-79.35297449810994,(336) 578-2427,DSL,5.059,5.009,4.1294,2026-06-18,251,12,14,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Graham,NC,Haw River,NC,yes,no,yes,no,no,no
693,693,Flying J,Flying J Travel Center,8484 Alleghany Rd,Corfu,NY,14036,43.00133808672438,-78.40663019503415,(585) 599-4430,DSL,5.759,5.709,4.4751,2026-06-18,111,8,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Pilot Eats,Pilot/Flying J pricing + locations,Pembroke,NY,Corfu,NY,yes,no,yes,no,no,no
696,696,Flying J,Flying J Travel Center,7735 E OH-37,Sunbury,OH,43074,40.2677136,-82.9246924,(740) 965-9835,DSL,5.099,5.049,4.3745,2026-06-18,150,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Berkshire,OH,Sunbury,OH,yes,no,yes,no,no,no
700,700,Flying J,Flying J Travel Center,26415 Warns Dr,Perrysburg,OH,43551,41.534688838750284,-83.4607347506996,(419) 837-2100,DSL,4.899,4.849,4.3599,2026-06-18,150,12,13,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Lake Township,OH,Perrysburg,OH,yes,no,yes,no,no,no
749,749,Flying J,Flying J Travel Center,24279 Rogers Clark Blvd,Ruther Glen,VA,22546,37.93292857497793,-77.47297547846654,(804) 448-9047,DSL,5.099,5.049,4.138,2026-06-18,199,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Carmel Church,VA,Ruther Glen,VA,yes,no,yes,no,no,no
750,750,Flying J,Flying J Travel Center,139 Factory Outlet Dr,Max Meadows,VA,24360,36.944556358625825,-80.94568369546722,(276) 637-4115,DSL,5.259,5.209,4.2521,2026-06-18,265,10,14,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Denny's | Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Fort Chiswell,VA,Max Meadows,VA,yes,no,yes,no,no,no
752,752,Flying J,Flying J Travel Center,1530 Rest Church Rd,Clear Brook,VA,22624,39.29056053857347,-78.08660659512003,(540) 678-3641,DSL,5.059,5.009,4.2268,2026-06-18,144,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Denny's | Pilot Eats,Pilot/Flying J pricing + locations,Winchester,VA,Clear Brook,VA,yes,no,yes,no,no,no
775,775,Pilot,Pilot Travel Center,2841 S 60 E,Saint George,UT,84790,37.0599477,-113.581869,(435) 319-4138,DSL,5.159,5.109,4.5057,2026-06-18,60,7,3,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Burger King | Pilot Eats,Pilot/Flying J pricing + locations,St. George,UT,Saint George,UT,yes,no,yes,no,no,no
889,889,Flying J,Flying J Dealer,101 S 45th St,Mount Vernon,IL,62864,38.311428503288255,-88.95743122090148,(618) 244-2616,DSL,4.959,4.909,4.5865,2026-06-18,200,8,0,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,,Pilot/Flying J pricing + locations,Mt. Vernon,IL,Mount Vernon,IL,yes,no,yes,no,no,no
908,908,Pilot,Pilot Licensed Location,1000 Grizzly Trail,Butte,MT,59701,46.00500869528673,-112.61161368451691,(406) 723-0088,DSL,4.699,4.649,4.3512,2026-06-18,100,9,10,Diesel Lanes | Showers | ATM | CAT Scale | DEF Lanes | Game Room | Public Laundry | Truck Parking Spaces,,Pilot/Flying J pricing + locations,Rocker,MT,Butte,MT,yes,no,yes,no,no,no
1009,1009,Flying J,Flying J Travel Center,11053 Riverside Dr,Mira Loma,CA,91752,34.01513200422592,-117.5254612290131,(951) 681-1032,DSL,6.959,6.909,5.5798,2026-06-18,107,12,11,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | DEF Lanes | Drivers Lounge | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Jurupa Valley,CA,Mira Loma,CA,yes,no,yes,no,no,no
1012,1012,Pilot,Pilot Travel Center,1300 N Grand Ave,Mount Pleasant,IA,52641,40.9820445029456,-91.53934192451952,(319) 385-1440,DSL,5.099,5.049,4.0229,2026-06-18,72,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Arby's | Pilot Eats,Pilot/Flying J pricing + locations,Mt. Pleasant,IA,Mount Pleasant,IA,yes,no,yes,no,no,no
1068,1068,Flying J,Flying J Travel Center,799 Jedburg Rd,Summerville,SC,29483,33.0807751,-80.2105932,(843) 851-2023,DSL,4.959,4.909,4.3025,2026-06-18,44,7,5,Electric Vehicle Charging Station | Mobile Ordering,Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Jedburg,SC,Summerville,SC,yes,no,yes,no,no,no
1185,1185,Pilot,Pilot Dealer,4031 Fleet St,Littlefield,AZ,86423,36.8972,-113.910531,(702) 849-0700,DSL,5.099,5.049,4.3452,2026-06-18,23,3,0,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces,,Pilot/Flying J pricing + locations,Desert Springs,AZ,Littlefield,AZ,yes,no,yes,no,no,no
1433,1433,Pilot,Pilot Dealer,17405 S 40th St,Phoenix,AZ,85048,33.28876465878624,-111.99658385483873,(623) 777-8712,DSL,5.199,5.149,4.3535,2026-06-18,10,4,0,Diesel Lanes | Showers | Diesel Mobile Fueling | Wifi | ATM | Bulk Propane | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,,Pilot/Flying J pricing + locations,Chandler,AZ,Phoenix,AZ,yes,no,yes,no,no,no
