site_code,store_number,brand,station_name,address,city,state,zip,latitude,longitude,phone,fuel_type,retail_price,discount_price,your_price,effective_date,parking_spaces_count,fuel_lane_count,shower_count,amenities,restaurants,source,pricing_city,pricing_state,location_city,location_state,is_usa,is_canada,missing_coordinates,missing_current_price
029,29,Pilot,Pilot Travel Center,6900 N Old US-27,Fremont,IN,46737,41.744137388831916,-84.99975084449656,(260) 833-1987,DSL,4.999,4.949,4.7003,2026-06-18,130,11,7,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Fremont,IN,Fremont,IN,yes,no,no,no
030,30,Pilot,Pilot Travel Center,2640 N 600 W,Greenfield,IN,46140,39.82150283618834,-85.91623097168883,(463) 388-0606,DSL,5.159,5.109,4.4363,2026-06-18,90,9,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats,Pilot/Flying J pricing + locations,Greenfield,IN,Greenfield,IN,yes,no,no,no
031,31,Pilot,Pilot Travel Center,8150 Indianapolis Blvd,Highland,IN,46322,41.56746795810016,-87.47272301165677,(219) 972-4125,DSL,5.199,5.149,4.2816,2026-06-18,10,6,2,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Highland,IN,Highland,IN,yes,no,no,no
034,34,Pilot,Pilot Travel Center,4154 US-24,Remington,IN,47977,40.7663019,-87.1234491,(219) 261-3786,DSL,5.199,5.149,4.3066,2026-06-18,75,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | Subway | Taco Bell | Pilot Eats,Pilot/Flying J pricing + locations,Remington,IN,Remington,IN,yes,no,no,no
035,35,Pilot,Pilot Travel Center,6424 W Brick Rd,South Bend,IN,46628,41.736021,-86.336832,(574) 272-8212,DSL,5.259,5.209,4.6728,2026-06-18,70,6,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,South Bend,IN,South Bend,IN,yes,no,no,no
037,37,Pilot,Pilot Travel Center,2962 E 500 N,Whiteland,IN,46184,39.55117863378675,-86.04598800859831,(463) 333-6618,DSL,5.199,5.149,4.4388,2026-06-18,110,11,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Whiteland,IN,Whiteland,IN,yes,no,no,no
039,39,Pilot,Pilot Travel Center,6002 W Monee Manhattan Rd,Monee,IL,60449,41.4275607,-87.7568136,(708) 534-2483,DSL,5.059,5.009,4.5491,2026-06-18,66,5,5,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Monee,IL,Monee,IL,yes,no,no,no
040,40,Pilot,Pilot Travel Center,2031 W Ryan Rd,Oak Creek,WI,53154,42.871496,-87.94443,(414) 761-0939,DSL,5.099,5.049,4.0042,2026-06-18,150,10,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats,Pilot/Flying J pricing + locations,Oak Creek,WI,Oak Creek,WI,yes,no,no,no
041,41,Pilot,Pilot Travel Center,3060 Owingsville Rd,Mount Sterling,KY,40353,38.085998446252916,-83.89884095937596,(859) 497-4041,DSL,4.999,4.949,4.1,2026-06-18,70,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,McDonalds | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Mt Sterling,KY,Mount Sterling,KY,yes,no,no,no
043,43,Pilot,Pilot Travel Center,3500 N Plainview Rd,Walcott,IA,52773,41.619597,-90.784545,(563) 284-4100,DSL,4.959,4.909,4.0179,2026-06-18,160,11,10,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | Pilot Eats,Pilot/Flying J pricing + locations,Walcott,IA,Walcott,IA,yes,no,no,no
044,44,Pilot,Pilot Travel Center,1701 W Ashley Rd,Boonville,MO,65233,38.939392554387254,-92.77396264986932,(660) 882-9120,DSL,4.799,4.749,3.9682,2026-06-18,150,10,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Wendy's | Pilot Eats,Pilot/Flying J pricing + locations,Boonville,MO,Boonville,MO,yes,no,no,no
047,47,Pilot,Pilot Travel Center,259 Cherry Blossom Way,Georgetown,KY,40324,38.27672724577639,-84.56014385515596,(502) 868-7427,DSL,4.799,4.749,4.095,2026-06-18,90,8,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Georgetown,KY,Georgetown,KY,yes,no,no,no
048,48,Pilot,Pilot Travel Center,58 Glendale Hodgenville Rd W,Glendale,KY,42740,37.5955972832017,-85.86489468978714,(270) 369-7360,DSL,4.899,4.849,4.1428,2026-06-18,125,11,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Glendale,KY,Glendale,KY,yes,no,no,no
049,49,Pilot,Pilot Travel Center,8190 Pembroke Oak Grove Rd,Oak Grove,KY,42262,36.67827984961249,-87.40442727822713,(270) 439-1776,DSL,4.459,4.409,4.0578,2026-06-18,175,11,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Oak Grove,KY,Oak Grove,KY,yes,no,no,no
050,50,Pilot,Pilot Travel Center,489 Pendleton Road,Pendleton,KY,40055,38.457546358365555,-85.29936836995793,(502) 743-5496,DSL,4.899,4.849,4.1428,2026-06-18,175,11,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Pendleton,KY,Pendleton,KY,yes,no,no,no
051,51,Pilot,Pilot Travel Center,11190 Baileyton Rd,Greeneville,TN,37745,36.320638,-82.831823,(423) 234-0414,DSL,5.099,5.049,4.0044,2026-06-18,28,5,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Greeneville,TN,Greeneville,TN,yes,no,no,no
052,52,Pilot,Pilot Travel Center,535 Waldron Rd,La Vergne,TN,37086,35.99777918141003,-86.59516507340413,(615) 793-9856,DSL,4.999,4.949,4.0231,2026-06-18,15,8,4,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,La Vergne,TN,La Vergne,TN,yes,no,no,no
053,53,Pilot,Pilot Travel Center,15559 TN-13,Hurricane Mills,TN,37078,35.88214835938339,-87.80100000398463,(931) 296-7180,DSL,4.499,4.449,4.0281,2026-06-18,180,11,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Arby's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Hurricane Mills,TN,Hurricane Mills,TN,yes,no,no,no
056,56,Pilot,Pilot Travel Center,2825 Lane St,Kannapolis,NC,28083,35.49845563266019,-80.56096263558197,(704) 938-6800,DSL,4.559,4.509,4.1484,2026-06-18,55,7,5,Electric Vehicle Charging Station | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Kannapolis,NC,Kannapolis,NC,yes,no,no,no
057,57,Pilot,Pilot Travel Center,1342 Trollingwood Hawfields Rd,Mebane,NC,27302,36.06567343649865,-79.30987714231613,(919) 563-4999,DSL,5.059,5.009,4.1294,2026-06-18,140,10,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Mebane,NC,Mebane,NC,yes,no,no,no
060,60,Pilot,Pilot Travel Center,2064 Homestead Rd,Bowman,SC,29018,33.41699,-80.6663716,(803) 829-3541,DSL,4.959,4.909,4.3075,2026-06-18,30,10,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | CB Shop | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Bowman,SC,Bowman,SC,yes,no,no,no
062,62,Pilot,Pilot Travel Center,3006 N Williston Rd,Florence,SC,29506,34.26660455384255,-79.70179281338103,(843) 662-6972,DSL,4.599,4.549,4.0734,2026-06-18,75,8,3,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Florence,SC,Florence,SC,yes,no,no,no
063,63,Pilot,Pilot Travel Center,110 Frontage Rd,Piedmont,SC,29673,34.710810394124366,-82.49772280765475,(864) 845-8177,DSL,4.559,4.509,4.0085,2026-06-18,61,9,7,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Piedmont,SC,Piedmont,SC,yes,no,no,no
066,66,Pilot,Pilot Travel Center,5888 Hwy 53,Braselton,GA,30517,34.1194936,-83.7619905,(706) 654-2820,DSL,4.899,4.849,4.2523,2026-06-18,70,7,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats,Pilot/Flying J pricing + locations,Braselton,GA,Braselton,GA,yes,no,no,no
067,67,Pilot,Pilot Travel Center,968 Cassville White Rd,Cartersville,GA,30121,34.27270117530584,-84.80773600770877,(770) 607-7835,DSL,4.859,4.809,4.2093,2026-06-18,78,10,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Cartersville,GA,Cartersville,GA,yes,no,no,no
068,68,Pilot,Pilot Travel Center,2185 US-441,Dublin,GA,31021,32.490501860087164,-82.93440021354445,(478) 275-2143,DSL,4.699,4.649,4.299,2026-06-18,5,4,4,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Dublin,GA,Dublin,GA,yes,no,no,no
071,71,Pilot,Pilot Travel Center,7001 GA-21,Port Wentworth,GA,31407,32.188725774101115,-81.19496020325909,(912) 964-7006,DSL,4.599,4.549,4.3931,2026-06-18,112,8,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Port Wentworth,GA,Port Wentworth,GA,yes,no,no,no
075,75,Pilot,Pilot Travel Center,6109 US-43 S,Satsuma,AL,36572,30.8727989,-88.0469468,(251) 679-6260,DSL,4.659,4.609,4.2039,2026-06-18,77,10,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Arby's | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Satsuma,AL,Satsuma,AL,yes,no,no,no
076,76,Pilot,Pilot Travel Center,4416 Skyland Blvd E,Tuscaloosa,AL,35405,33.17315449929658,-87.47864689131801,(205) 553-9710,DSL,4.559,4.509,4.0164,2026-06-18,71,8,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Tuscaloosa,AL,Tuscaloosa,AL,yes,no,no,no
077,77,Pilot,Pilot Travel Center,2520 S Gallatin St,Jackson,MS,39204,32.273162253881246,-90.19258066004944,(601) 968-9491,DSL,4.299,4.249,3.9477,2026-06-18,120,10,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Jackson,MS,Jackson,MS,yes,no,no,no
081,81,Pilot,Pilot Travel Center,2010 New Castle Rd,Portersville,PA,16051,40.96473570956834,-80.13987980149493,(724) 368-3028,DSL,5.799,5.749,4.5907,2026-06-18,50,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Cinnabon | McDonalds | Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Portersville,PA,Portersville,PA,yes,no,no,no
087,87,Pilot,Pilot Travel Center,1050 US 301 South,Jacksonville,FL,32234,30.2839697,-81.983862,(904) 266-4238,DSL,5.259,5.209,4.2873,2026-06-18,50,6,5,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Jacksonville,FL,Jacksonville,FL,yes,no,no,no
090,90,Pilot,Pilot Travel Center,7300 Okeechobee Rd,Fort Pierce,FL,34945,27.4138524510288,-80.40013848915262,(772) 732-2084,DSL,5.199,5.149,4.3014,2026-06-18,100,12,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats EXPRESS,Pilot/Flying J pricing + locations,Fort Pierce,FL,Fort Pierce,FL,yes,no,no,no
